TAG DATABASE: PHYSICAL & APPEARANCE
========================================
Total tags: 4354
Categories: 16
Last updated: 2026-02-26

================================================================================
SPECIES & BODY TYPE
================================================================================
african_wild_dog | An African wild dog species, painted coat in black, tan, and white patches. | species:canid
outie_pussy | A vulva with inner labia extending past the outer labia, visibly protruding. | genitalia:female
ovaries | Internal reproductive glands, visible in cutaway or magical internal-view panels. | genitalia:female
pierced_clit | A clitoris with a piercing through the hood or the clitoris itself. | genitalia:female
pierced_pussy | A vulva with one or more piercings through the labia or clitoral hood. | genitalia:female
plump_labia | Thick or swollen vulval lips, fuller than trim anatomy. | genitalia:female
post_sex_pussy | A vulva after sexual activity, flushed, swollen, and visibly used. | genitalia:female
puffy_clit | A clitoris swollen and engorged from arousal, visibly pushed out. | genitalia:female
puffy_labia | Full, outwardly-rounded outer labia that read as plush or swollen rather than flat, often emphasised as a visual feature. | genitalia:female
puffy_pussy | A vulva with a puffy outer appearance, plump rather than flat. | genitalia:female
pussy | The vaginal opening and surrounding vulva, general genital-area tag. | genitalia:female
pussy_comparison | Two or more characters comparing their vulvas side by side. | genitalia:female
pussy_inspection | A character examining or evaluating another's vulva, studying rather than using. | genitalia:female
pussy_juice_dripping | Arousal fluid visibly dripping from the vulva, the wetness spilling over the lower lip. | genitalia:female
pussy_juice_string | A strand of arousal fluid stretched between vulva and surface or body. | genitalia:female
pussy_presentation | A character deliberately displaying their vulva for admiration or access. | genitalia:female
pussy_spread | A vulva held open manually, fingers spreading the labia to reveal the interior. | genitalia:female
red_pussy | A vulva flushed deep red from arousal or friction, engorged colouration. | genitalia:female
shaved_pussy | A vulva with all pubic hair removed, completely smooth. | genitalia:female
slit_fingering | A finger teasing or entering a genital slit, scalie or reptilian anatomy focus. | genitalia:female
soaking_wet_pussy | A vulva extremely lubricated with arousal fluid, thoroughly drenched. | genitalia:female
squeezing_pussy | A vagina deliberately clenching around an inserted object, muscles working in rhythm. | genitalia:female
swollen_clit | An enlarged clitoris visibly swollen and engorged from arousal, pushed outward and prominent. | genitalia:female
swollen_pussy | A vulva engorged from arousal, labia and clit all visibly swollen. | genitalia:female
tattooed_pussy | A tattoo inked on or near the vulva, permanent ink in the intimate area. | genitalia:female
throbbing_pussy | A vulva pulsing from intense arousal, rhythmic swell visible. | genitalia:female
tight_pussy | A notably snug vaginal canal, narrowness the emphasised feature. | genitalia:female
trimmed_pussy | Pubic hair kept neat and short rather than shaved or left natural. | genitalia:female
twitching_pussy | Involuntary small clenching of vaginal muscles, the rhythm visible. | genitalia:female
urethra | The urinary opening, anatomy tag shared between male and female contexts. | genitalia:female
ursine_pussy | A bear-style vulva, the species-specific female anatomy of an ursine character. | genitalia:female
used_pussy | A vulva showing signs of recent sexual activity, flushed and slick. | genitalia:female
uterus | The internal organ of gestation, visible in cutaway or x-ray panels. | genitalia:female
waxed_pussy | A vulva with pubic hair removed via waxing, smooth and hairless. | genitalia:female
wet_pussy | A vulva visibly slick with arousal fluid, glistening lubricated and ready. | genitalia:female

================================================================================
NON-HUMANOID & FANTASY ANATOMY
================================================================================
anal_fin | Small fin on the ventral rear body of aquatic species, aft of the vent. | anatomy:fantasy
antennae_grab | A character's antennae gripped or pulled, a species-sensitive point for dominance or tenderness. | anatomy:fantasy
beak | A hard keratinous mouth structure, the bird or bird-anthro mouthpart replacing lips and teeth. | anatomy:fantasy
bone_spurs | Bony protrusions pushing through skin at joints or along limbs, skeletal extrusions as anatomy. | anatomy:fantasy
carapace | A hard protective shell covering the upper body or back, chitinous or plated armour. | anatomy:fantasy
caudal_fin | The main tail fin of aquatic species, the propulsion blade at the rear of the body. | anatomy:fantasy
chitin | Hard biological material forming the exoskeleton of insect or crustacean anthros, armoured plates. | anatomy:fantasy
chromatophores | Specialised skin cells that allow colour change, cephalopod-style shifting markings. | anatomy:fantasy
claspers | Male reproductive appendages on sharks and rays, paired rods beside the pelvic fins. | anatomy:fantasy
color_body | General tag modifying body colour, applied when a specific colour overlay matters to the scene. | anatomy:fantasy
color_feathers | General tag modifying feather colour on an avian or winged character. | anatomy:fantasy
color_fur | General tag modifying fur colour on an anthro or feral character. | anatomy:fantasy
color_scales | General tag modifying scale colour on a reptilian or dragon character. | anatomy:fantasy
color_skin | General tag modifying skin colour on a humanoid or exposed-skin character. | anatomy:fantasy
comb | The fleshy crest on top of a rooster's head, red and floppy, classic avian display feature. | anatomy:fantasy
compound_eyes | Insect-style eyes made of many small facets grouped together, no single pupil visible. | anatomy:fantasy
detachable_limbs | Limbs designed to come off at will without injury, often for doll-like or fantasy bodies. | anatomy:fantasy
dewlap | Loose fold of skin hanging under the throat, associated with reptiles and some bovines, often flared as display or mood cue. | anatomy:fantasy
dorsal_fin | Fin running along the top of the back in aquatic species, the classic shark or fish silhouette. | anatomy:fantasy
echolocation | Sonar-like sense using high-pitched sound to map surroundings, bat or dolphin anatomy. | anatomy:fantasy
egg_sac | An external pouch or sac holding developing eggs, arachnid or amphibian-style brooding structure. | anatomy:fantasy
electroreception | Ability to sense electrical fields through specialised organs, shark or platypus anatomy. | anatomy:fantasy
elongated_tongue | A tongue drawn much longer than normal, extending well past the mouth when out. | anatomy:fantasy
exoskeleton | External skeletal structure covering the body, insect or crustacean anatomy plated over the soft tissue. | anatomy:fantasy
extra_arms | A character with more than two arms, additional limbs as central anatomy. | anatomy:fantasy
extra_eyes | A character with more than two eyes, extra pairs placed on face or body. | anatomy:fantasy
extra_legs | A character with more than two legs, spider-like or fantasy anatomy. | anatomy:fantasy
extra_tails | A character with more than one tail, kitsune or fantasy multi-tail anatomy. | anatomy:fantasy
frill_display | A neck frill extended outward, lizard-style intimidation or courtship display. | anatomy:fantasy
heat_pits | Infrared-sensing organs between the eyes and nostrils, pit-viper anatomy. | anatomy:fantasy
ink_sac | An internal organ that produces defensive ink, cephalopod anatomy that can empty as a cloud. | anatomy:fantasy
lateral_line | A vibration-sensing line of pores running along the sides of aquatic species. | anatomy:fantasy
mandibles | Large jaw pincers on the face of insect or arthropod characters, operating separately from the mouth. | anatomy:fantasy
marsupial_pouch | An abdominal pouch for carrying young, kangaroo or opossum anatomy. | anatomy:fantasy
metallic_body | A character whose skin or body is made of or appears as metal, chrome or iron surface. | anatomy:fantasy
multiple_heads | A character with more than one head on a single body, hydra or fantasy anatomy. | anatomy:fantasy
ovipositor | An egg-laying organ on the body of a character capable of depositing eggs in a partner or nest. | anatomy:fantasy
paws | Animal-style hands or feet with soft pads on palm or sole, claws at the tips of the digits. | anatomy:fantasy
pectoral_fins | Paired side fins on aquatic species, positioned near the head for steering. | anatomy:fantasy
proboscis | A long tubular mouthpart, insect-style or fantasy extended tongue or feeding tube. | anatomy:fantasy
quills | Sharp defensive spines covering the back or body, porcupine or hedgehog anatomy. | anatomy:fantasy
retractable_claws | Claws that can extend and retract at will, feline anatomy classic feature. | anatomy:fantasy
saber_teeth | Extremely elongated upper canines extending past the lower jaw, sabertooth cat anatomy. | anatomy:fantasy
scent_glands | Organs producing pheromones or musk, scent-marking anatomy in the groin, neck, or paws. | anatomy:fantasy
shell | A hard protective shell covering the body, turtle or armadillo anatomy as armour. | anatomy:fantasy
skin | Bare unclothed skin visible as the body surface, rather than fur, scales, or feathers. | anatomy:fantasy
snout | An elongated animal-style muzzle replacing a humanoid nose and mouth, species-defining facial feature. | anatomy:fantasy
spines | Row of sharp protrusions along the back, tail, or limbs — defensive armour or aggressive display depending on species. | anatomy:fantasy
swim_bladder | Internal gas-filled organ controlling buoyancy, fish anatomy for adjusting depth. | anatomy:fantasy
talons | Large predatory claws on bird or raptor feet, curved and built for gripping prey. | anatomy:fantasy
tentacle_arms | Arms replaced by or combined with tentacles, flexible limbs rather than jointed. | anatomy:fantasy
tentacle_hair | Hair replaced by tentacles, writhing appendages in place of strands. | anatomy:fantasy
tentacle_tail | A tail replaced by or made from tentacles, flexible and often prehensile. | anatomy:fantasy
tentacles | Flexible elongated appendages without bones, cephalopod or fantasy anatomy. | anatomy:fantasy
third_eye | A single additional eye, usually on the forehead, mystical or fantasy anatomy. | anatomy:fantasy
throat_sac | An inflatable throat pouch that expands outward for display, frog or bird anatomy. | anatomy:fantasy
trunk | A long prehensile nose that can grip, manipulate, or spray, elephant anatomy. | anatomy:fantasy
venom_glands | Organs producing venom, snake or arachnid anatomy for envenoming prey. | anatomy:fantasy
venomous_fangs | Teeth with hollow canals delivering venom when they sink into prey. | anatomy:fantasy
vibrissae | The formal term for sensory whiskers, stiff specialised hairs on the face. | anatomy:fantasy
wattle | A fleshy dangling throat appendage, turkey or rooster anatomy. | anatomy:fantasy
whiskers | Long stiff sensory hairs on the face, cat or rodent anatomy for feeling in tight spaces. | anatomy:fantasy
wing_arms | Arms that serve as wings, bat or pterosaur anatomy where the arm membrane is the flight surface. | anatomy:fantasy

================================================================================
INTERNAL & SKELETAL ANATOMY
================================================================================
crest_mark | Magical mark above the pubic area, the crest mark as the noted anatomy or body feature. | anatomy:internal
cum_visible_inside | Ejaculate visible through transparent or x-ray body, the cum visible inside as the noted anatomy or body feature. | anatomy:internal
cutaway_anatomy | Artistic cutaway showing internal structure, the cutaway anatomy as the noted anatomy or body feature. | anatomy:internal
distended_organs | Internal organs pushed aside or stretched by penetration, the distended organs as the noted anatomy or body feature. | anatomy:internal
egg_visible_inside | Eggs visible through transparent or x-ray body, the egg visible inside as the noted anatomy or body feature. | anatomy:internal
exposed_bone | Bone visible through flesh, the exposed bone as the noted anatomy or body feature. | anatomy:internal
exposed_brain | Brain visible through open skull, the exposed brain as the noted anatomy or body feature. | anatomy:internal
exposed_heart | Heart visible and beating outside the body, the exposed heart as the noted anatomy or body feature. | anatomy:internal
exposed_intestines | Intestines visible outside the body, the exposed intestines as the noted anatomy or body feature. | anatomy:internal
exposed_muscle | Muscle tissue visible through torn skin/fur, the exposed muscle as the noted anatomy or body feature. | anatomy:internal
exposed_organs | Internal organs visible from outside the body, the exposed organs as the noted anatomy or body feature. | anatomy:internal
exposed_ovary | Ovary visible (fantasy/x-ray/gore), the exposed ovary as the noted anatomy or body feature. | anatomy:internal
exposed_ribcage | Ribs visible through flesh, the exposed ribcage as the noted anatomy or body feature. | anatomy:internal
exposed_spine | Spine/vertebrae visible, the exposed spine as the noted anatomy or body feature. | anatomy:internal
exposed_testicle | Testicle visible outside the scrotum, the exposed testicle as the noted anatomy or body feature. | anatomy:internal
exposed_womb | Womb visible or opened (fantasy/x-ray), the exposed womb as the noted anatomy or body feature. | anatomy:internal
filled_intestines | Intestinal tract visibly full, the filled intestines as the noted anatomy or body feature. | anatomy:internal
filled_stomach | Stomach visibly full, the filled stomach as the noted anatomy or body feature. | anatomy:internal
filled_womb | Womb visibly full of cum, eggs, or other, the filled womb as the noted anatomy or body feature. | anatomy:internal
heart | Visible or exposed heart, the heart as the noted anatomy or body feature. | anatomy:internal
internal_anatomy_visible | Any internal anatomy shown through skin, the internal anatomy visible as the noted anatomy or body feature. | anatomy:internal
kidneys | Internal kidney depiction, the kidneys as the noted anatomy or body feature. | anatomy:internal
liver | Liver shown or referenced, the liver as the noted anatomy or body feature. | anatomy:internal
pelvis | Visible hip bones (often in x-ray or gore), the pelvis as the noted anatomy or body feature. | anatomy:internal
penetration_visible_inside | Penetrating object visible through body, the penetration visible inside as the noted anatomy or body feature. | anatomy:internal
skull | Bare or exposed skull, stylized or real, the skull as the noted anatomy or body feature. | anatomy:internal
transparent_body | See-through body showing internals, the transparent body as the noted anatomy or body feature. | anatomy:internal
womb_tattoo | Tattoo or mark over the womb area (often magical) | anatomy:internal
x-ray | Interior visual, usually during penetration or gore, the x-ray as the noted anatomy or body feature. | anatomy:internal
x_ray_view | X-ray style view showing internal anatomy, the x ray view as the noted anatomy or body feature. | anatomy:internal

================================================================================
FUR, SCALE & FEATHER COLORS
================================================================================
auburn_fur | Auburn reddish-brown fur covering the body, warm chestnut tone the noted coat colour. | coat:colour
black_feathers | Black feathers covering the avian body, dark plumage the noted variant. | coat:colour
black_fur | Black fur covering the body, dark coat colour the noted variant. | coat:colour
black_scales | Black scales covering the reptilian or draconic body, dark scaled colour the variant. | coat:colour
blue_feathers | Blue feathers covering the avian body, blue plumage the noted variant. | coat:colour
blue_fur | Blue fur covering the body, fantasy or stylised blue coat colour the variant. | coat:colour
blue_scales | Blue scales covering the reptilian or draconic body, blue scaled colour the variant. | coat:colour
blue_skin | Blue skin covering the body, fantasy or alien blue colouration the noted feature. | coat:colour
brown_fur | Brown fur covering the body, the standard earth-tone coat colour as variant. | coat:colour
charcoal_fur | Charcoal-grey fur covering the body, dark sooty grey coat colour the variant. | coat:colour
chocolate_fur | Chocolate-brown fur covering the body, deep cocoa coat colour the variant. | coat:colour
cinnamon_fur | Cinnamon-brown fur covering the body, warm reddish-brown coat colour the variant. | coat:colour
cream_fur | Cream-coloured fur covering the body, pale off-white coat colour the variant. | coat:colour
dark_skin | Dark skin tone on the visible body, deep-melanin colouration the noted feature. | coat:colour
gold_scales | Gold scales covering the reptilian or draconic body, metallic gold scaled colour the variant. | coat:colour
golden_feathers | Golden feathers covering the avian body, metallic gold plumage the noted variant. | coat:colour
golden_fur | Golden-yellow fur covering the body, warm metallic-tinted coat colour the variant. | coat:colour
gradient_fur | Fur rendered as a gradient between two colours, the colour transition across the body the feature. | coat:colour
green_feathers | Green feathers covering the avian body, green plumage the noted variant. | coat:colour
green_fur | Green fur covering the body, fantasy or stylised green coat colour the variant. | coat:colour
green_scales | Green scales covering the reptilian or draconic body, green scaled colour the variant. | coat:colour
green_skin | Green skin covering the body, fantasy or alien green colouration the noted feature. | coat:colour
grey_fur | Grey fur covering the body, neutral grey coat colour the noted variant. | coat:colour
grey_skin | Grey skin covering the body, neutral grey colouration the noted feature. | coat:colour
iridescent_feathers | Iridescent feathers shimmering with shifting colours as light moves across them. | coat:colour
iridescent_scales | Iridescent scales shimmering with shifting colours as light moves across them. | coat:colour
ivory_fur | Ivory off-white fur covering the body, warm cream-tinged coat colour the variant. | coat:colour
lavender_fur | Lavender pale-purple fur covering the body, soft purple coat colour the variant. | coat:colour
metallic_scales | Metallic-finish scales covering the body, scales rendered with reflective metal sheen. | coat:colour
midnight_fur | Midnight-blue or near-black fur covering the body, deepest dark coat colour the variant. | coat:colour
multicolored_fur | Fur rendered in multiple colours across the body, patched or banded coat the feature. | coat:colour
olive_skin | Olive skin tone on the visible body, warm yellow-green-tinged colouration the noted feature. | coat:colour
orange_fur | Orange fur covering the body, vivid warm coat colour the noted variant. | coat:colour
pale_skin | Pale light skin tone on the visible body, low-melanin colouration the noted feature. | coat:colour
pink_fur | Pink fur covering the body, fantasy or stylised pink coat colour the variant. | coat:colour
purple_fur | Purple fur covering the body, fantasy or stylised purple coat colour the variant. | coat:colour
purple_scales | Purple scales covering the reptilian or draconic body, purple scaled colour the variant. | coat:colour
rainbow_feathers | Rainbow-coloured feathers across the avian body, full spectrum plumage the variant. | coat:colour
red_feathers | Red feathers covering the avian body, red plumage the noted variant. | coat:colour
red_fur | Red fur covering the body, vivid red coat colour the noted variant. | coat:colour
red_scales | Red scales covering the reptilian or draconic body, red scaled colour the variant. | coat:colour
red_skin | Red skin covering the body, fantasy or demonic red colouration the noted feature. | coat:colour
russet_fur | Russet reddish-brown fur covering the body, autumnal coat colour the variant. | coat:colour
silver_scales | Silver scales covering the reptilian or draconic body, metallic silver scaled colour the variant. | coat:colour
tan_fur | Tan fur covering the body, light brown coat colour the noted variant. | coat:colour
teal_fur | Teal blue-green fur covering the body, fantasy or stylised teal coat colour the variant. | coat:colour
two_tone_fur | Two-tone fur in two distinct colours across the body, the split or banded coat the feature. | coat:colour
white_feathers | White feathers covering the avian body, white plumage the noted variant. | coat:colour
white_scales | White scales covering the reptilian or draconic body, white scaled colour the variant. | coat:colour
yellow_fur | Yellow fur covering the body, vivid yellow coat colour the noted variant. | coat:colour

================================================================================
EYE COLORS
================================================================================
amber_eyes | Amber-coloured eyes, the warm honey-gold iris colour as the noted feature. | eyes:colour
black_eyes | Black-coloured eyes, the dark iris or all-black sclera as the noted feature. | eyes:colour
bloodshot_eyes | Bloodshot eyes with visible red veins across the whites, the irritation or fatigue feature. | eyes:colour
blue_eyes | Blue-coloured eyes, the blue iris colour as the noted feature. | eyes:colour
bright_eyes | Bright luminous eyes, the catchlight-bright iris as the noted feature. | eyes:colour
brown_eyes | Brown-coloured eyes, the brown iris colour as the noted feature. | eyes:colour
cat_eyes | Cat-style eyes with vertical slit pupils, the feline shape as the noted feature. | eyes:colour
crimson_eyes | Crimson red eyes, the deep red iris colour as the noted feature. | eyes:colour
dark_eyes | Dark-coloured eyes, the deep iris colour as the noted feature. | eyes:colour
doe_eyes | Doe eyes with large innocent appearance, the wide soft gaze as the noted feature. | eyes:colour
glazed_eyes | Glazed unfocused eyes, the dazed or drugged stare as the noted feature. | eyes:colour
glowing_eyes | Glowing eyes emitting their own light, the magical or fantasy luminescence as feature. | eyes:colour
green_eyes | Green-coloured eyes, the green iris colour as the noted feature. | eyes:colour
grey_eyes | Grey-coloured eyes, the grey iris colour as the noted feature. | eyes:colour
half_lidded_eyes | Half-lidded heavy eyelids, the relaxed or seductive gaze as the noted feature. | eyes:colour
hazel_eyes | Hazel-coloured eyes mixing brown and green, the mixed iris colour as the noted feature. | eyes:colour
ice_blue_eyes | Ice-blue eyes, the pale icy blue iris colour as the noted feature. | eyes:colour
orange_eyes | Orange-coloured eyes, the orange iris colour as the noted feature. | eyes:colour
pink_eyes | Pink-coloured eyes, the pink iris colour as the noted feature. | eyes:colour
predator_eyes | Predator-style eyes with forward-facing intense gaze, the hunter's eyes as feature. | eyes:colour
purple_eyes | Purple-coloured eyes, the purple iris colour as the noted feature. | eyes:colour
red_eyes | Red-coloured eyes, the red iris colour as the noted feature. | eyes:colour
reptile_eyes | Reptile-style eyes with vertical slit pupils, the reptilian shape as the noted feature. | eyes:colour
round_pupils | Round pupils in the eyes, the circular shape as the noted feature. | eyes:colour
silver_eyes | Silver-coloured eyes, the metallic silver iris colour as the noted feature. | eyes:colour
slit_pupils | Slit pupils in the eyes, the vertical-slit shape as the noted feature. | eyes:colour
teal_eyes | Teal-coloured eyes, the blue-green iris colour as the noted feature. | eyes:colour
tear_filled_eyes | Tear-filled eyes brimming with unshed tears, the welling moisture as feature. | eyes:colour
violet_eyes | Violet-coloured eyes, the deep purple iris colour as the noted feature. | eyes:colour
white_eyes | White-coloured eyes with no visible iris, the all-white look as the noted feature. | eyes:colour
wide_eyes | Wide-open eyes, the surprised or alert gaze as the noted feature. | eyes:colour
wolf_eyes | Wolf-style eyes with intense forward gaze, the predator's eyes as the noted feature. | eyes:colour
yellow_eyes | Yellow-coloured eyes, the yellow iris colour as the noted feature. | eyes:colour

================================================================================
FUR PATTERNS & MARKINGS
================================================================================
agouti | Agouti coat pattern, banded individual hairs producing a flecked grizzled appearance. | coat:pattern
belly_patch | A distinct belly patch in different colour from the surrounding fur, the underside marking. | coat:pattern
bioluminescent_markings | Markings on the body that emit their own light, glowing patterns the noted feature. | coat:pattern
blaze_marking | A blaze marking down the centre of the face, vertical white stripe the feature. | coat:pattern
brand_mark | A burned brand mark on the skin or fur, permanent ownership or punishment scar the feature. | coat:pattern
brindle | Brindle coat pattern, irregular vertical streaks of dark colour over a lighter base. | coat:pattern
chest_patch | A distinct chest patch in different colour from the surrounding fur, the chest marking. | coat:pattern
chimera_coloring | Chimeric split-down-the-middle colouration, two distinctly different sides as the feature. | coat:pattern
claw_marks | Visible claw mark scars on the body, the parallel scratch pattern as the feature. | coat:pattern
constellation_markings | Markings forming a constellation pattern on the body, star-and-line motif as the feature. | coat:pattern
counter_shading | Counter-shading pattern with lighter underside and darker upper, the natural coat camouflage. | coat:pattern
dappled | A dappled coat pattern, soft mottled spots across the body as the natural marking. | coat:pattern
dorsal_stripe | A single dorsal stripe down the spine, the dark line along the back as the feature. | coat:pattern
ear_tips_marking | Distinct markings at the tips of the ears, contrasting colour at the ear ends. | coat:pattern
eye_rings | Distinct eye rings of contrasting colour around the eyes, mask-like marking the feature. | coat:pattern
flame_markings | Flame-shaped markings across the body, fire-pattern motif as the noted feature. | coat:pattern
freckled_fur | Freckled fur with small spots scattered across the coat, the dappled marking the feature. | coat:pattern
frosted_tips | Frosted lighter tips on the fur, the white-or-pale tip colour as the feature. | coat:pattern
glowing_markings | Glowing markings across the body emitting light, magical or bioluminescent feature. | coat:pattern
gradient_markings | Markings that gradient between two colours across the body, smooth colour transition the feature. | coat:pattern
grizzled | Grizzled coat with mixed dark and light hairs, the salt-and-pepper natural pattern. | coat:pattern
leucistic | A leucistic colour-morph with pale or white coat from partial pigment loss. | coat:pattern
lightning_markings | Lightning-bolt shaped markings across the body, jagged bolt pattern as the feature. | coat:pattern
mask_marking | A mask-shaped marking around the eyes, dark band across the face the feature. | coat:pattern
melanistic | A melanistic colour-morph with all-black coat from excess dark pigment, the dark variant. | coat:pattern
merle | Merle coat pattern, mottled patches of diluted colour across the base coat. | coat:pattern
mittens_marking | Mittens marking on the hands, distinct contrasting colour on the paws or fingers. | coat:pattern
neon_markings | Neon-bright markings across the body, vivid glowing-bright pattern the feature. | coat:pattern
ombre_fur | Ombre fur with gradient between two colours, the smooth colour transition along the coat. | coat:pattern
piebald | A piebald coat with irregular patches of two contrasting colours, broken-pattern coat the feature. | coat:pattern
piebald_coloring | Piebald colouration with irregular patches of two contrasting colours across the coat. | coat:pattern
raccoon_mask | A raccoon-style mask marking around the eyes, the bandit-mask facial pattern. | coat:pattern
roan | A roan coat with mixed white and coloured hairs evenly across the body, the speckled pattern. | coat:pattern
rosettes | Rosette spot pattern across the coat, the rose-shaped clusters typical of leopards or jaguars. | coat:pattern
rune_markings | Rune-shaped markings across the body, magical inscribed-symbol pattern the feature. | coat:pattern
saddle_marking | A saddle marking across the back, distinct contrasting colour over the shoulders to hips. | coat:pattern
salt_and_pepper | Salt-and-pepper coat pattern, mixed black and white hairs evenly across the body. | coat:pattern
socks_marking | Socks marking on the lower legs, distinct contrasting colour from foot to ankle. | coat:pattern
speckled | Speckled coat pattern, fine spots scattered across the body as the marking. | coat:pattern
star_marking | A star-shaped marking on the body, distinct star outline the feature. | coat:pattern
stripes | Stripes across the body or coat, banded pattern as the noted feature. | coat:pattern
swirl_markings | Swirl markings across the body, curling-pattern motif as the noted feature. | coat:pattern
tabby_stripes | Tabby stripes across the coat, the classic feline marbled or banded pattern. | coat:pattern
tail_tip_marking | A distinct marking at the tip of the tail, contrasting colour at the very end. | coat:pattern
tattoo_marking | Tattoo-style markings across the body, deliberate inked pattern the feature. | coat:pattern
tiger_stripes | Tiger-style stripes across the coat, bold black-on-orange banded pattern the feature. | coat:pattern
tribal_markings | Tribal-pattern markings across the body, geometric or organic tribal motifs the feature. | coat:pattern
tuxedo_pattern | Tuxedo coat pattern, the formal black-and-white split typical of certain cats. | coat:pattern
underbelly | A distinctly-coloured underbelly, the contrasting fur or scale colour on the underside. | coat:pattern
war_scars | War scars across the body, healed wound markings the feature of a battle-worn character. | coat:pattern

================================================================================
FUR & BODY TEXTURES
================================================================================
belly_fluff | Fluffy fur on the belly, the soft thick coat across the underside as the noted feature. | coat:texture
bristly | A bristly stiff fur texture across the body, coarse hair the noted variant. | coat:texture
cheek_fluff | Fluffy fur on the cheeks, the soft thick coat on the face as the noted feature. | coat:texture
chest_fluff | Fluffy fur on the chest, the soft thick coat across the front as the noted feature. | coat:texture
coarse_fur | Coarse rough fur texture across the body, the rough coat the noted variant. | coat:texture
curly_fur | Curly fur with natural curls or waves across the body, the textured coat the variant. | coat:texture
damp_fur | Damp fur slightly wet across the body, post-bath or sweat-damp coat the variant. | coat:texture
downy | Downy soft fluffy texture across the coat, the babylike soft fur the noted variant. | coat:texture
ear_fluff | Fluffy fur on the ears, the soft thick coat tufting from the ears as the feature. | coat:texture
extra_fluffy | Extra fluffy fur across the body, the exaggerated voluminous coat the noted variant. | coat:texture
feathered_feet | Feathered fluffy fur on the feet, the long fur tufts down the lower legs and paws. | coat:texture
fluffy | A fluffy thick coat across the body, voluminous fur the noted texture variant. | coat:texture
groomed | A well-groomed coat across the body, the carefully-tended fur the noted feature. | coat:texture
guard_hairs | Visible guard hairs across the coat, the longer outer fur protecting the undercoat. | coat:texture
jellybean_toes | Jellybean-shaped toe pads on the paws, the rounded soft pads as the feature. | coat:texture
keeled_scales | Keeled scales with a raised central ridge along each scale, the textured reptilian feature. | coat:texture
leathery_skin | Leathery tough skin across the body, the weathered texture as the noted feature. | coat:texture
maned | A character with a prominent mane around the neck or head, the long hair as feature. | coat:texture
matted_fur | Matted tangled fur across the body, the unkempt coat as the noted feature. | coat:texture
molting | A character actively shedding their coat, the molt visible as patches of loose fur or feathers. | coat:texture
neck_fluff | Fluffy fur around the neck, the ruff or mane as the noted feature. | coat:texture
overlapping_scales | Overlapping scales across the body, each scale layered over the next as the texture. | coat:texture
peach_fuzz | Peach-fuzz soft downy fur across the body, the fine baby-soft coat the variant. | coat:texture
plush | A plush thick velvety coat across the body, the soft luxurious fur the noted variant. | coat:texture
preened_feathers | Carefully preened smooth feathers across the avian body, the well-tended plumage the feature. | coat:texture
puffed_up | A character with puffed-up coat or feathers, the inflated display posture the feature. | coat:texture
rough_paw_pads | Rough textured paw pads on the feet, the worn or tough surface of the pads. | coat:texture
rough_scales | Rough textured scales across the body, the coarse scaled surface the variant. | coat:texture
rough_skin | Rough textured skin across the body, the coarse surface the noted feature. | coat:texture
ruff | A ruff of long fur around the neck, the prominent collar of hair the feature. | coat:texture
ruffled_feathers | Ruffled disturbed feathers across the avian body, the unkempt plumage the feature. | coat:texture
scruffy | A scruffy unkempt coat across the body, the rough-and-ready fur as the variant. | coat:texture
shaggy | A shaggy long unkempt coat across the body, the loose hanging fur the noted variant. | coat:texture
silky_fur | Silky smooth flowing fur across the body, the luxuriant soft coat the variant. | coat:texture
sleek_fur | Sleek smooth glossy fur across the body, the well-groomed shining coat the variant. | coat:texture
smooth_scales | Smooth flat scales across the body, the polished scaled surface the variant. | coat:texture
soft_paw_pads | Soft cushioned paw pads on the feet, the tender pads the noted feature. | coat:texture
soft_skin | Soft smooth skin across the body, the tender surface the noted feature. | coat:texture
summer_coat | Summer coat with shorter lighter fur across the body, the seasonal variant. | coat:texture
tail_fluff | Fluffy fur on the tail, the soft thick coat at the tail as the noted feature. | coat:texture
toe_beans | Toe beans, the affectionate term for the soft pink pads on the underside of paws. | coat:texture
tufted | Tufted fur with distinct clumps or tufts across the body, the textured coat the variant. | coat:texture
undercoat | A visible undercoat layer beneath the outer fur, the dense soft inner layer the feature. | coat:texture
wet_fur | Wet soaked fur across the body, the drenched coat the noted feature. | coat:texture
winter_coat | Winter coat with thicker fluffier fur across the body, the seasonal cold-weather variant. | coat:texture
wiry_fur | Wiry stiff curly fur across the body, the textured coat the variant. | coat:texture
woolly | A woolly thick wool-like coat across the body, the dense curled fur the variant. | coat:texture


================================================================================
E621 IMPORT - 2026-04-15
================================================================================
# Tags imported from e621 dump on 2026-04-15
# These are appended for review; re-sort into appropriate sections later

aged_down | Character drawn or written at a younger age than their canonical version, often for softer or cub-adjacent aesthetics. | age
aged_up | Character drawn or written at an older age than their canonical version, typically to place them in adult scenarios. | age
androgynous | Character whose features, clothing, or build don't clearly read as male or female, deliberately ambiguous. | gender
antlers | Branched bony head growths, the antlers as the noted anatomy or body feature. | head:general
bovid | A bovid species character, the cloven-hoofed family including cattle, sheep, and antelope. | species:bovid
bulge | A visible bulge in clothing over the genitals, shape of the penis pressed through fabric. | genitalia:male
canid | A canid character of the dog family, the broad species group of dogs, wolves, and foxes. | species:canid
canis | A Canis genus character, the genus encompassing wolves, dogs, jackals, and coyotes. | species:canid
cloaca | Single multi-purpose opening used for reproduction and waste, found in reptiles, birds, and some anthro variants. | genitalia:ambiguous
