TAG DATABASE: META, SETTING & CHARACTER
========================================
Total tags: 1434
Categories: 12
Last updated: 2026-02-26

================================================================================
SEX, GENDER & PAIRING
================================================================================
_transformation | A tag indicating a transformation into a specified gender, the gender-shift the focus. | meta:pairing
psychological | A story exploring mental and emotional dimensions as the main focus. | meta:emotion
reconciliation | Repairing a damaged relationship, the coming-back-together after a rift the scene's emotional arc. | meta:emotion
rejected_mate | Partner who has been rejected by their fated mate | meta:emotion
relationship_issues | Problems within an established partnership, conflict as the framing. | meta:emotion
reluctance | Initial resistance to sexual activity that eventually gives way. | meta:emotion
reunion | Coming back together after separation, the reunion scene the focus. | meta:emotion
rivals | A competitive relationship between characters, rivalry framing the tension. | meta:emotion
romance | An emotional love story alongside sexual content, the romantic arc central. | meta:emotion
rut | A male biological mating drive, the counterpart to female heat in omegaverse. | meta:emotion
ruthless | Pursuing sexual goals without mercy or restraint, cold determination. | meta:emotion
scent_bond | A bond formed through exchanging scents, furry-specific connection framing. | meta:emotion
scent_marking | Using personal scent to claim a partner or territory | meta:emotion
secret_affair | A hidden sexual relationship, the concealment central to the scene's tension. | meta:emotion
secret_relationship | A hidden romantic or sexual partnership, secrecy framing the drama. | meta:emotion
seductive | A deliberately alluring and enticing seductive manner, calculated seduction framing the pursuit. | meta:emotion
self_discovery | A character learning about their own desires and identity through the story. | meta:emotion
sensual | Emphasising sensory pleasure and slow eroticism rather than raw intensity. | meta:emotion
separation_anxiety | Distress from being apart from a bonded partner, the withdrawal framing. | meta:emotion
sex_positive | An affirming attitude toward diverse sexual expression, the framing non-judgemental. | meta:emotion
sexuality_questioning | A character actively examining their own sexual orientation, the uncertainty and search framing the arc. | meta:emotion
shame | Negative self-judgement about sexual desires or actions, shame framing the response. | meta:emotion
size_difference_romance | Romance between partners of very different sizes, the scale central to the dynamic. | meta:emotion
slow_burn | Gradually building sexual or romantic tension across a long arc. | meta:emotion
slow_seduction | Gradual patient seduction over time rather than rapid escalation. | meta:emotion
soul_bond | A supernatural connection of souls between partners, mystical framing of the bond. | meta:emotion
soulmates | Fated or destined romantic partners, the inevitability of their pairing the framing. | meta:emotion
stagnant_relationship | A partnership that has lost its passion or growth, the stall framing the conflict. | meta:emotion
stockholm_syndrome | A character developing attachment to a captor or manipulator, the dark psychology. | meta:emotion
straight_to_gay | A heterosexual character having a homosexual experience, the orientation flip. | meta:emotion
strangers_to_lovers | Characters progressing from unknown to intimate across the story. | meta:emotion
telepathic_bond | A mental link between bonded partners, thoughts shared directly. | meta:emotion
tension | Unresolved sexual or emotional pressure between characters, the build framing scenes. | meta:emotion
territorial_marking | Scent-marking territory around a mate, protective furry-specific behaviour warning rivals off. | meta:emotion
territory | A character marking or defending claimed sexual space or partner, territorial framing of the dynamic. | meta:emotion
touch_starved | Desperate for physical contact and affection after prolonged lack. | meta:emotion
toxic_relationship | A harmful or destructive romantic dynamic, the damage central to the framing. | meta:emotion
trophy | Treating a sexual conquest as a prize or achievement | meta:emotion
trust | Confidence in a partner's intentions and care as emotional foundation. | meta:emotion
unfaithful | Committing sexual acts outside a committed relationship, the betrayal framing the scene's stakes. | meta:emotion
unrequited_love | One-sided romantic feelings not returned by their object, the unreturned longing the emotional anchor. | meta:emotion
virgin | A character who has not had sexual intercourse, their inexperience framing the scene. | meta:emotion
virginity | The state of sexual inexperience as the scene's central framing. | meta:emotion
vulnerability | Emotional or physical openness and exposure, the exposed self the framing. | meta:emotion

================================================================================
SETTINGS & UNIVERSE
================================================================================
afterlife | A setting in a post-death realm, whether paradise, underworld, or spirit world. | meta:setting
airplane | An aircraft cabin setting, interior of a plane during or before flight. | meta:setting
airport | An airport terminal, gates, runways, or lounges as the setting. | meta:setting
alberta | An Alberta setting, the Canadian province spanning prairie, badlands, and Rocky Mountain foothills. | meta:setting
alien_planet | An extraterrestrial planet surface as the setting, alien flora and fauna. | meta:setting
alley | A narrow passage between buildings, often shadowed urban setting. | meta:setting
alternate_universe | A setting in an alternate version of reality, familiar characters in changed circumstances. | meta:setting
amusement_park | An amusement park setting with rides, games, and attractions. | meta:setting
ancient_china | A historical Chinese dynastic setting, imperial architecture and traditional costume framing the scene. | meta:setting
aquarium | A public aquarium or home tank, aquatic life visible through glass. | meta:setting
arena | A combat or performance arena, tiered seating surrounding a central floor for gladiators, fighters, or performers. | meta:setting
attic | An attic or loft space at the top of a building, sloped roof and dusty storage. | meta:setting
aviary | A large flight cage for birds, enclosed space with trees and perches. | meta:setting
back_alley | A secluded urban passage behind buildings, dim and often illicit framing. | meta:setting
back_room | A private room behind a shop or venue, staff-only or hidden space. | meta:setting
backroom | A private area in a bar or club, off-limits to regular patrons. | meta:setting
backstage | The area behind a performance stage, prep space for performers. | meta:setting
backyard | An outdoor area behind a house, domestic yard setting. | meta:setting
badlands | An eroded prairie landscape, the Alberta or similar rugged terrain. | meta:setting
ballroom | Large, elegant room meant for dancing or formal events. | meta:setting
bamboo | A bamboo forest or grove as the setting, tall green stalks filling the scene. | meta:setting
bar | A drinking establishment, rows of bottles behind the counter and stools at the rail. | meta:setting
barn | A rural barn setting, wooden beams and hay as the backdrop. | meta:setting
basement | A lower-level room beneath a building, underground or semi-underground. | meta:setting
bathhouse | A communal bathing facility, traditional Japanese or European-style spa. | meta:setting
bathroom | A generic bathroom setting, bath or shower, toilet, and sink fixtures framing the domestic space. | meta:setting
bathtub | A tub used for soaking or bathing, the fixture as the scene's centre. | meta:setting
beach | A sandy coastal setting with shoreline, waves, and sky. | meta:setting
beach_shower | An outdoor shower near a beach, rinsing sand and salt. | meta:setting
bedroom | A bedroom setting with the bed as the central feature, the intimate domestic space for sleep or sex. | meta:setting
birdhouse | A miniature house built for birds, garden or yard decoration. | meta:setting
birthday_party | A birthday celebration as the setting, cake, candles, and decorations. | meta:setting
black_sky | A sky rendered deep black, dramatic or apocalyptic atmosphere. | meta:setting
blue_sky | A clear blue sky overhead, serene daytime weather framing the scene with bright uncluttered atmosphere. | meta:setting
boiler_room | An industrial utility room housing boilers, grimy mechanical setting. | meta:setting
bondage_theme_park | A fantasy amusement park dedicated to bondage and erotic scenarios. | meta:setting
boutique | A small specialty retail shop, often clothing or luxury goods. | meta:setting
break_room | A workplace rest area, coffee and couches for staff. | meta:setting
brothel | An establishment for commercial sex work, the setting framing the trade. | meta:setting
brown_sky | A sky shaded brown, unusual or polluted atmospheric tone. | meta:setting
burrow | An underground animal dwelling, tunnel or chamber carved into earth. | meta:setting
bus | A public transportation bus, interior or exterior as setting. | meta:setting
cabin | A small rustic dwelling, wooden structure in rural or woodland setting. | meta:setting
cafe | A small casual cafe or coffee-shop, espresso machines and comfortable tables as the daily-life backdrop. | meta:setting
cafeteria | A self-service meal hall with trays, counters, and communal tables, institutional dining setting. | meta:setting
campfire | An outdoor fire as gathering spot, flames central to the scene. | meta:setting
canada | A Canadian national setting, the specific location somewhere within Canada's provinces or territories. | meta:setting
candy_shop | A store selling sweets, shelves and jars of confection. | meta:setting
canyon | A deep narrow valley between sheer rock walls, carved by erosion over millennia. | meta:setting
carnival | A travelling entertainment event with rides, booths, and games. | meta:setting
casino | A gambling and entertainment venue, tables and slot machines. | meta:setting
castle | A medieval-style stone castle or royal fortress, towers and battlements framing the setting. | meta:setting
catacomb | An underground tunnel system lined with burial niches, bones and sarcophagi framing the claustrophobic space. | meta:setting
cathedral | A large ornate Christian church, vaulted ceilings and stained glass. | meta:setting
cave | An underground natural chamber, rock walls framing the scene. | meta:setting
cemetery | A burial ground with graves, headstones, and often mist. | meta:setting
china | A Chinese national setting, the specific location somewhere within modern or historical China. | meta:setting
church | A Christian religious building, pews and altar as the space. | meta:setting
city | An urban city environment with buildings, streets, vehicles, and inhabitants filling the frame. | meta:setting
cityscape | An artistic view of a city skyline, buildings against sky. | meta:setting
classroom | A school classroom, desks and blackboard as the setting. | meta:setting
clearing | An open space within a forest or grove, trees encircling. | meta:setting
cliff | A steep rock face as setting, elevation and drop framing the scene. | meta:setting
clock_tower | A tower with a large clock face, civic landmark. | meta:setting
closet | A small enclosed storage closet, cramped interior walls pressed close around the characters inside. | meta:setting
clothing_store | A retail store selling garments, racks and fitting rooms. | meta:setting
cloudscape | A detailed sky filled with clouds as the scene's subject. | meta:setting
club | A nightclub or social club, music and dim lighting framing. | meta:setting
coffee_shop | A casual cafe setting, espresso machines and comfortable seating. | meta:setting
college | A higher education college campus, lecture halls and dormitories framing the young-adult setting. | meta:setting
colosseum | A large amphitheatre in the classical Roman style, tiered stone seating encircling an oval fighting floor. | meta:setting
communal_shower | A shared shower area in a gym or dormitory. | meta:setting
contemporary | A present-day real-world setting, modern-era framing without fantasy or historical elements. | meta:setting
control_room | A hub room with tech panels, usually for operations or surveillance. | meta:setting
coral_reef | An underwater coral formation, fish and marine life among the coral. | meta:setting
cottage | A small cosy rural dwelling with picturesque charm, thatched or shingled roof framing the country scene. | meta:setting
courtroom | A legal courtroom setting, judge's bench and witness stand visible. | meta:setting
crypt | An underground burial chamber, sarcophagi and funerary architecture framing the cold stone interior. | meta:setting
crystal_cave | A cave lined with crystal formations, glowing or refracting light. | meta:setting
cyberpunk | A high-tech low-life futuristic setting, neon and grime aesthetic. | meta:setting
dark_forest | An ominous foreboding woods, deep shadows between the trunks and the canopy blocking most light. | meta:setting
dark_room | A dim or red-lit room, often photographic darkroom or thematic gloom. | meta:setting
deep_sea | A very deep ocean setting, pressure and darkness framing. | meta:setting
den | An animal dwelling or cosy private space, intimate interior. | meta:setting
desert | An arid desert landscape, sand dunes and heat haze. | meta:setting
desolate | An empty barren outdoor scene, lifeless terrain stretching to the horizon without cover or life. | meta:setting
dimensional_rift | A tear between realities, edge of one space opening into another. | meta:setting
diner | A retro-style diner setting, booths, chrome counter, and jukebox framing the American-classic dining scene. | meta:setting
dining_room | A dining room setting, table set for a meal. | meta:setting
dog_park | A park designed specifically for dogs to run and play. | meta:setting
doghouse | A small shelter built for a dog, backyard prop. | meta:setting
dragon_lair | A dragon's dwelling, piled treasure hoard scattered across a cave floor or mountaintop aerie. | meta:setting
dream_world | A setting within a dream, surreal or oneiric framing. | meta:setting
dreamworks | A DreamWorks Animation franchise setting, scene drawing on its intellectual property aesthetic. | meta:setting
dressing_room | A room for changing clothes, mirror and wardrobe framing. | meta:setting
drumheller | The town of Drumheller in Alberta, Canadian dinosaur-country locale. | meta:setting
dumpster | A dumpster behind a commercial building, gritty urban setting. | meta:setting
dungeon | An underground or prison-like room, bleak stone walls and minimal light framing the enclosed setting. | meta:setting
eagle_nest | A high-altitude bird dwelling built on a cliff or tall tree. | meta:setting
eiffel_tower | The iconic Parisian iron lattice tower, a Paris landmark visible in or framing the scene. | meta:setting
elder_scrolls | The Elder Scrolls video game universe as the setting. | meta:setting
elevator | An enclosed vertical elevator cab, passengers momentarily trapped in the small rising or falling space. | meta:setting
elsweyr | The Khajiit homeland region in the Elder Scrolls universe. | meta:setting
enchanted_forest | A magical woodland setting, glowing fungi or impossible trees. | meta:setting
examination_room | A clinical medical examination room, paper-covered table and diagnostic equipment framing the sterile space. | meta:setting
fantasy | A fictional world with fantastical elements, magic and mythic creatures. | meta:setting
farm | An agricultural farm setting, fields, outbuildings, and rural machinery as the backdrop. | meta:setting
festival | A large public festival or celebratory gathering, crowds, stalls, and lights framing the event. | meta:setting
fish_bowl | A small round domestic fish bowl, single fish circling in clear water on a table or shelf. | meta:setting
fish_pond | A decorative or stocked pond, garden or estate pond. | meta:setting
fish_tank | A rectangular glass aquarium tank, aquatic life and plants visible through the transparent walls. | meta:setting
fitting_room | A changing room in a clothing store, curtain and mirror. | meta:setting
forest | A wooded natural setting, trees and underbrush framing the scene. | meta:setting
forge | A metalworking forge with anvil, furnace, and hammers, heat and sparks framing the blacksmith setting. | meta:setting
fort_mcmurray | The city of Fort McMurray in Alberta, Canadian oil-industry town. | meta:setting
fox_den | A fox's underground burrow home, a hidden family den carved into earth between tree roots. | meta:setting
futuristic | An advanced future time period setting, technology and aesthetics ahead of present. | meta:setting
garage | A vehicle storage garage or workshop, cars, tools, and oil stains framing the space. | meta:setting
garden | A cultivated floral or plant-filled area, domestic or public garden. | meta:setting
garden_of_eden | A mythical paradise setting, lush greenery and innocent framing. | meta:setting
glacier | A massive ice formation, glacier wall or surface setting. | meta:setting
gladiator_arena | A combat arena for gladiatorial fights, classical gladiator venue. | meta:setting
graveyard | A cemetery setting, spooky or sombre outdoor burial ground. | meta:setting
green_room | An actor's green room waiting area before performance, couches and mirrors in the backstage lounge. | meta:setting
green_sky | A sky shaded green, unnatural or alien atmosphere signalling strange weather or otherworldly setting. | meta:setting
greenhouse | A glass greenhouse structure for cultivating plants, humid air and rows of vegetation inside. | meta:setting
grey_sky | A grey overcast sky, dreary cloud cover blanketing the scene in flat neutral light. | meta:setting
grocery_store | A food and household item market, shelves of goods. | meta:setting
gym | An exercise facility, equipment and mirrors framing the space. | meta:setting
harem_quarters | A living space for harem members, ornate and enclosed. | meta:setting
haunted_house | A supernatural or spooky residential setting, ghosts and eerie atmosphere. | meta:setting
heaven | A celestial paradise realm, clouds and divine light framing. | meta:setting
hell | An infernal underworld realm, fire and darkness framing the punishment-and-demons setting. | meta:setting
herpetarium | A vivarium for reptiles and amphibians, terrariums lined up. | meta:setting
high_school | A secondary school setting, lockers and classrooms framing the teenage-student scene. | meta:setting
highway | A highway or travel road setting, open lanes stretching ahead. | meta:setting
hill | A raised area of land, gentle elevation as the scene's geography. | meta:setting
hive | An insect colony hive dwelling, honeycomb or chitin chambers framing the tightly-packed setting. | meta:setting
hospital | A medical hospital setting, either a wide view of the facility or the interior framing of wards and corridors. | meta:setting
hospital_room | A generic medical room, patient bed and monitoring equipment. | meta:setting
hot_spring | A natural heated pool setting, steam rising from the water. | meta:setting
hotel | A lodging or travel accommodation setting, hotel exterior or lobby. | meta:setting
hotel_room | A room inside a hotel, bed and generic decor framing. | meta:setting
house | A residential house setting, domestic home interior or exterior framing the scene. | meta:setting
inside | Generic indoor setting when the specific room or building isn't specified. | meta:setting
interrogation_room | An interrogation space with metal chair and bright overhead light. | meta:setting
island | A landmass surrounded by water, island setting framed by sea on all sides. | meta:setting
jacuzzi | A hot tub or whirlpool bath, jets and warm water. | meta:setting
janitor_closet | A utility janitor's closet packed with cleaning supplies, mop bucket and shelves framing the tight space. | meta:setting
jungle | A dense tropical jungle setting, vines, humid air, and undergrowth framing the riotous green backdrop. | meta:setting
junkyard | An outdoor lot of discarded or salvaged items, scrap piled high. | meta:setting
kiddie_pool | A shallow pool for children, small inflatable or moulded plastic. | meta:setting
kitchen | A cooking area, stove and counters as the setting. | meta:setting
koi_pond | An ornamental pond with koi fish and lily pads, Japanese-garden aesthetic framing the tranquil water. | meta:setting
kung_fu | A Chinese martial arts tradition setting, training or combat framing. | meta:setting
kung_fu_panda | The DreamWorks Kung Fu Panda franchise as setting, scene drawing on its characters or Valley of Peace locale. | meta:setting
laboratory | A science or experiment room, benches and equipment framing. | meta:setting
lake | A lake or lakeside setting, fresh water and shoreline. | meta:setting
lakeside | The edge of a lake, shore as the setting. | meta:setting
landscape | General terrain or land scenery, a wide-view natural setting. | meta:setting
laundromat | A public coin-operated laundry space, rows of washers and dryers. | meta:setting
laundry_room | A domestic room where clothes are washed, washer and dryer setting. | meta:setting
lava_pool | A pool of molten lava, volcanic or infernal setting. | meta:setting
lava_waterfall | A flowing stream of molten lava cascading like a waterfall, volcanic or infernal fantasy setting. | meta:setting
library | A room or building of books, shelves from floor to ceiling. | meta:setting
lighthouse | A coastal tower with a beacon light, guiding ships at sea. | meta:setting
living_room | The main domestic lounging space of a home, sofa and TV framing. | meta:setting
locker_room | A gym or sports changing area, lockers and benches setting. | meta:setting
loft_apartment | An upper-floor open-plan living space, exposed beams and industrial aesthetic. | meta:setting
magic_academy | A wizarding school for magical learning, spell classrooms and magical dormitories framing the setting. | meta:setting
mall | A shopping complex with multiple stores under one roof. | meta:setting
mansion | A large luxurious estate, sprawling house with many rooms. | meta:setting
market | An open-air marketplace with stalls and vendors, the busy commerce of a public trade setting. | meta:setting
market_stall | A single vendor booth in a market, small independent trader. | meta:setting
marketplace | A broad market zone with many stalls and vendors. | meta:setting
mars | A Mars setting, red Martian planet surface or colony framing the extraterrestrial scene. | meta:setting
meadow | An open grassy meadow, wildflowers and tall grass swaying in the sun. | meta:setting
medieval | A Middle Ages time period setting, swords and castles era. | meta:setting
messy_room | An untidy cluttered indoor environment, mess as the framing. | meta:setting
mine | An underground mine setting, tunnels and excavation shafts framing the subterranean industrial space. | meta:setting
modern | A contemporary modern-day real-world setting, present-era framing without fantasy elements. | meta:setting
monument | A memorial or commemorative monument, a notable landmark statue or structure framing the scene. | meta:setting
motel | A roadside motel setting, cheap exterior-door rooms and flickering neon sign framing the transient scene. | meta:setting
mountain | An elevated mountain formation as setting, peaks visible as the scene's geography. | meta:setting
movie_theater | A cinema space for watching films, rows of seats and screen. | meta:setting
multicolored_sky | A sky rendered in multiple colours, fantastical or magical atmosphere. | meta:setting
nature | Broad tag for unspoiled outdoor scenery where the wilderness itself is a key element. | meta:setting
nest | A bird or creature dwelling, woven or built home. | meta:setting
night_sky | A sky during night-time, darkness with or without stars. | meta:setting
nightclub | Social venue with loud music, dancing, and dim lighting. | meta:setting
nightlife | An evening entertainment scene, bars and clubs as setting. | meta:setting
oasis | A fertile spot in a desert, palm trees and water among the sand. | meta:setting
observation_tower | A tower built for scenic viewing, high vantage point. | meta:setting
ocean | An open sea or underwater setting, ocean as the environment. | meta:setting
office | A professional office workspace, desks, computers, and cubicles framing the white-collar scene. | meta:setting
oil_sands | The Alberta oil extraction industry setting, tar sands landscape. | meta:setting
onsen | A Japanese hot spring bathing facility, traditional outdoor bath. | meta:setting
operating_room | A surgical operating room, sterile medical setting with table, lights, and instruments framing the clinical space. | meta:setting
orange_sky | A sky shaded orange, warm dusk or sunset atmosphere. | meta:setting
orchard | A fruit tree orchard, rows of cultivated trees in bloom or laden with ripening fruit. | meta:setting
outside | Generic outdoor setting when the specific terrain or location isn't specified. | meta:setting
overcast | A sky completely covered in clouds, grey blanket overhead. | meta:setting
padded_room | A room with cushioned walls for containment, institutional setting with soft white padding everywhere. | meta:setting
pagoda | A multi-tiered East Asian temple structure, pointed stacked roofs. | meta:setting
palace | A royal or grand palace setting, sprawling ornate architecture. | meta:setting
pantry | A food storage pantry, shelves of dry goods and preserved foods lining the narrow domestic space. | meta:setting
park | A recreational outdoor space, grass and paths framing the scene. | meta:setting
parking_lot | A paved outdoor space for vehicles, rows of parking spaces. | meta:setting
party | A generic celebration gathering, social event as the setting. | meta:setting
penthouse | A luxury apartment on a building's top floor, upscale urban setting. | meta:setting
pet_shop | A store selling pets and supplies, animals in enclosures. | meta:setting
petting_zoo | A hands-on animal exhibit for children, small farm animals framing. | meta:setting
pier | A wooden or concrete pier extending out over water from the shore, boats and water framing the scene. | meta:setting
pink_sky | A pink-shaded sky, dreamlike or romantic atmosphere framing the scene with soft rose light. | meta:setting
pirate_ship | A pirate vessel as setting, sails and deck framing. | meta:setting
playground | A children's outdoor recreational playground, swings, slides, and monkey bars framing the space. | meta:setting
pond | A small still body of water, a pond setting framed by grass or trees around its edge. | meta:setting
pool | A swimming pool setting, water and tiled edge as the scene's backdrop. | meta:setting
pool_party | A social gathering by a pool, swimwear and drinks setting. | meta:setting
poolside | The area surrounding a swimming pool, lounge chairs and decking framing the scene beside the water. | meta:setting
post_apocalyptic | A post-apocalyptic setting after civilisation's collapse, ruins and wilderness framing the broken world. | meta:setting
prairie | A flat grassland prairie landscape, horizon stretching wide under an uninterrupted sky. | meta:setting
prison | A detention or incarceration area setting, cells and bars. | meta:setting
prison_cell | A single prison cell, concrete walls and iron bars framing the locked incarceration setting. | meta:setting
private_room | A secluded space within a public venue, reserved area. | meta:setting
public | A public space accessible to anyone, open-access setting where others could witness the scene. | meta:setting
public_aquarium | A public aquarium building with aquatic exhibits, tanks and visitors framing the institutional setting. | meta:setting
public_pool | A pool open to general public use, municipal or paid-access. | meta:setting
public_restroom | A public toilet or washroom, communal facilities with rows of stalls or urinals framing the setting. | meta:setting
public_shower | A non-private shower used by multiple people, communal gym or facility framing the exposed setting. | meta:setting
purgatory | A liminal space between life and death, in-between realm. | meta:setting
purple_sky | A purple-shaded sky, fantastical or moody atmosphere framing the scene with unusual colouring. | meta:setting
pyramid | A large triangular monument or tomb, Egyptian or Mesoamerican. | meta:setting
radio_station | A broadcasting radio station setting, studio with microphones and desks. | meta:setting
rave | An intense usually night-long dance party with lights and music. | meta:setting
red_sky | A red-shaded sky, dangerous or apocalyptic atmosphere framing the scene with fiery colouring. | meta:setting
restaurant | A dining restaurant setting, tables, kitchen, and waitstaff framing the prepared-meal scene. | meta:setting
restroom_stall | Inside a single bathroom stall, a private cubicle framing the concealed scene within the restroom. | meta:setting
river | A flowing river setting, moving current and banks framing the scene with running water. | meta:setting
roof | The uppermost flat surface of a building, rooftop setting. | meta:setting
rooftop | A rooftop scene, top of a building as the setting. | meta:setting
royal_bedchamber | A monarch's private royal bedchamber, lavish canopy bed and ornate decor framing the regal sleeping quarters. | meta:setting
ruins | Crumbled ruins as the setting, ancient collapsed structures framing the weathered stones and overgrown architecture. | meta:setting
saloon | A Western-style bar, swinging doors and rough wooden interior. | meta:setting
sand_dune | A mounded sand dune, typically desert landscape with wind-shaped curves rising from the flat. | meta:setting
sauna | A steam room or heated bathing space, wooden benches and hot air. | meta:setting
savanna | A tropical grassland setting, scattered trees and long grass. | meta:setting
school | An educational school setting, classrooms or school grounds framing the student-and-teacher scene. | meta:setting
sea | An ocean or open sea setting, saltwater environment framing the scene above or below the waves. | meta:setting
seabed | The floor of the ocean or sea, underwater ground. | meta:setting
seascape | An artistic depiction of the sea as the scene's subject. | meta:setting
seaside | The area near the ocean or beach, coastal setting. | meta:setting
senchal | The coastal city of Senchal in Elsweyr, Elder Scrolls setting. | meta:setting
server_room | A computer server storage room, racks of blinking hardware. | meta:setting
sewer | An underground drainage system setting, dank tunnels and pipes. | meta:setting
sex_dungeon | A room designed for BDSM or sexual restraint, equipped accordingly. | meta:setting
sex_shop | An adult sex shop retail space, walls lined with toys and erotic products framing the commercial setting. | meta:setting
shed | A small utility shed or yard storage building, tools and stored items framing the cramped interior. | meta:setting
ship | A waterfaring vessel as setting, deck or cabin of a ship. | meta:setting
shipwreck | A sunken or damaged ship scene, wreckage as the setting. | meta:setting
shore | The edge of a body of water, land meeting sea or lake. | meta:setting
shower | A space or setup for bathing via overhead water. | meta:setting
shower_room | A communal shower room, tiled walls and rows of shower heads framing the gym-or-institutional setting. | meta:setting
shower_stall | A small private area for one person to shower. | meta:setting
skate_park | An outdoor space for skateboarding, ramps and rails framing. | meta:setting
sky | The general atmosphere above, sky as the scene's backdrop. | meta:setting
skyrim | The Elder Scrolls V: Skyrim setting, Nordic fantasy location. | meta:setting
skyscraper | A very tall modern urban building, glass and steel high-rise. | meta:setting
slave_market | A fictional or fantasy marketplace for enslaved characters, platforms and iron collars framing the dark setting. | meta:setting
slumber_party | An overnight slumber party, pyjamas, sleeping bags, and snacks framing the youthful casual gathering. | meta:setting
small_town | A rural or small community setting, quiet little locale. | meta:setting
snowscape | A snow-covered outdoor snowscape, white blanket landscape framing the scene with cold quiet brightness. | meta:setting
space | An outer space setting, vacuum, stars, and distant planets framing the scene beyond any planet. | meta:setting
space_needle | The futuristic Seattle Space Needle, the iconic observation tower visible in or framing the scene. | meta:setting
space_station | An orbital space station habitat or facility, artificial gravity or zero-G framing the setting. | meta:setting
spacecraft | A space-faring vessel as setting, ship interior or exterior. | meta:setting
spacescape | A stylised depiction of outer space as the scene's subject. | meta:setting
spaceship | A spaceship or space station as setting, ship interior or exterior framing the scene. | meta:setting
spirit_realm | A supernatural plane of existence beyond the physical world. | meta:setting
stable | A horse or livestock building setting, stalls and hay. | meta:setting
stadium | A large venue for sports or events, tiered seating and field. | meta:setting
stage | A performance platform, raised area for shows or speeches. | meta:setting
starry_sky | A sky filled with visible stars, night-time clear weather. | meta:setting
starscape | A star-filled view of space as the scene's subject. | meta:setting
steampunk | A Victorian-era technology aesthetic setting, brass gears and steam. | meta:setting
storage_room | A general storage space, shelves or piles of items. | meta:setting
store | A retail store setting, aisles and goods for sale framing the commercial scene. | meta:setting
street | A road or paved path through a populated area, street setting. | meta:setting
strip_club_setting | A venue for erotic dancing and performance, stage and poles framing. | meta:setting
studio | An art, music, or media work space, studio setting. | meta:setting
submarine | An underwater submarine vessel, cramped interior or exterior view framing the subsurface setting. | meta:setting
supermarket | A large self-service food and goods store, aisles of products. | meta:setting
swamp | A wetland or marshland setting, murky water and reeds. | meta:setting
swimming_pool | A water-filled swimming pool, recreational basin framing the scene with water and tile. | meta:setting
tavern | A fantasy-setting tavern or inn, wooden tables, hearth, and ale-mugs framing the traveller's rest. | meta:setting
tea_party | An intimate gathering around tea, dainty and social setting. | meta:setting
temple | A religious or spiritual site, temple interior or exterior. | meta:setting
tent | A temporary fabric tent as setting, camping-style canvas walls framing the portable shelter. | meta:setting
tentacle_room | A fantastical room filled with tentacles, erotic or horror framing. | meta:setting
terrarium | A glass container for plants or small land animals. | meta:setting
the_white_house | The US presidential residence, the iconic American White House visible in or framing the scene. | meta:setting
throne_room | A royal chamber with throne, seat of power as the setting. | meta:setting
tokyo_tower | The red and white Tokyo Tower, Japanese landmark visible in or framing the scene. | meta:setting
tower | A tall freestanding tower as the setting, the vertical structure framing the scene from its base or summit. | meta:setting
train | A railway train setting, carriage interior or exterior framing the rolling-transit scene. | meta:setting
tree_house | A structure built among tree branches, tree house setting. | meta:setting
treehouse | An elevated dwelling built in trees, tree house setting. | meta:setting
tundra | A frozen treeless tundra landscape, cold empty terrain framing the scene with arctic desolation. | meta:setting
two_tone_sky | A sky shaded in two primary colours, split atmospheric rendering. | meta:setting
underground | A below-ground setting, tunnels, sewers, or underground chambers framing the subterranean scene. | meta:setting
underwater | A scene set beneath the water's surface, underwater framing. | meta:setting
university | A higher education university setting, campus buildings and quads framing the academic scene. | meta:setting
urban | A city environment setting, buildings and streets as the backdrop. | meta:setting
valley | A lowland valley between hills or mountains, the scene framed by rising ground on either side. | meta:setting
victorian | A Victorian-era time period setting, 19th century British aesthetic. | meta:setting
village | A small rural settlement setting, clusters of rural dwellings. | meta:setting
vineyard | A grape-growing estate, rows of vines and wine production. | meta:setting
vivarium | An enclosure for keeping animals or plants in controlled conditions. | meta:setting
volcano | A volcanic mountain or crater as setting, lava, ash, or molten rock framing the fiery scene. | meta:setting
waiting_room | A pre-appointment waiting room, chairs and magazines framing the patient or client setting. | meta:setting
war_camp | A military war camp, rows of tents and soldiers framing the field encampment setting. | meta:setting
war_tent | A commander's tent in a military camp, interior setting. | meta:setting
warehouse | A large industrial warehouse setting, crates, shelves, and high ceilings framing the cavernous storage space. | meta:setting
warren | A rabbit warren, interconnected underground tunnels framing the burrow system as the scene's setting. | meta:setting
water_park | A park with water slides and pools as the setting. | meta:setting
water_tower | A civic water tower, elevated storage tank visible as landmark framing the small-town or industrial setting. | meta:setting
waterfall | A natural waterfall, water cascading vertically from height framing the scene with falling water and mist. | meta:setting
waterscape | A visual or scenic representation of water as the scene's subject. | meta:setting
white_sky | A white-shaded sky, foggy or high-noon glare framing the scene with washed-out bright atmosphere. | meta:setting
wine_cellar | An underground wine cellar, racks of dusty bottles framing the cool storage room setting. | meta:setting
wizard_tower | A magical practitioner's wizard tower, spellbooks and alchemical equipment framing the mage's dwelling and workspace. | meta:setting
wolf_den | A wolf pack's underground home den, a hidden family lair carved into earth as the setting. | meta:setting
workshop | A workspace for crafting or building, tools and workbench. | meta:setting
worldbuilding | A setting featuring detailed fictional world construction as focus. | meta:setting
yellow_sky | A sky shaded yellow, warm pastel or post-storm atmosphere. | meta:setting
