TAG DATABASE: ACTS & POSITIONS
========================================
Total tags: 1632
Categories: 10
Last updated: 2026-02-26

================================================================================
SEXUAL ACTS
================================================================================
*_sex | Wildcard placeholder for various sex acts when the specific type cannot be determined. | act:sexual
penis_in_mouth | A penis inserted into a partner's mouth for oral sex. | act:sexual
penis_in_penis | One penis inserted into the urethra of another penis, an extreme form of urethral play requiring significant size difference or fantasy-level stretching. | act:sexual
penis_in_pussy | A penis inserted into the vagina for sexual intercourse. | act:sexual
penis_in_urethra | A penis inserted into another character's urethra, an extreme urethral play tag requiring fantasy-level size differences or stretching. | act:sexual
penis_lick | Licking the shaft, head, or frenulum of a penis with the tongue, either as foreplay or as part of oral worship. | act:sexual
penis_on_belly | A penis resting against or pressed along a partner's stomach, often showing its length against the abdomen to emphasise size. | act:sexual
penis_on_breast | A penis resting against, between, or on top of a partner's breasts. | act:sexual
penis_on_butt | A penis resting against or between a partner's buttocks without penetrating, whether as teasing, hot_dogging, or simply pressed against the cheeks. | act:sexual
penis_on_face | A penis resting against, across, or draped over a partner's face, often emphasising its size relative to the receiver's features. | act:sexual
penis_on_head | A penis so large it rests on top of or drapes over a partner's head, emphasising extreme size difference. | act:sexual
penis_on_penis | Two penises pressed together, touching, rubbing, or grinding against each other without insertion. | act:sexual
penis_on_shoulder | A penis so large it reaches up to or drapes over a partner's shoulder, emphasising extreme length. | act:sexual
penis_on_tongue | A penis resting on or pressed against a partner's extended tongue, often as a teasing precursor to oral sex or as a display of willingness. | act:sexual
penis_shaped_bulge | The distinct outline of a penis (head, shaft, and sometimes veins) visible through the skin of the recipient’s body during penetration. | act:sexual
phone_sex | Sexual activity conducted verbally over a phone or voice call, where partners describe what they are doing or want to do while masturbating. | act:sexual
pity_sex | Sex offered out of sympathy, guilt, or obligation rather than genuine desire, where one partner feels sorry for the other. | act:sexual
polesitting | Sitting down onto a stationary phallic object, toy, or post, using body weight to impale oneself. | act:sexual
pore_penetration | Microscopic-scale penetration through the pores of the skin, exclusive to micro or size-shrinking fantasy scenarios. | act:sexual
post_orgasm_oral | Oral sex that continues on hypersensitive genitals after the recipient has already climaxed, creating overwhelming stimulation. | act:sexual
post_orgasm_torture | Deliberately continuing intense stimulation after a partner's orgasm to exploit their heightened sensitivity, causing uncontrollable squirming, begging, and involuntary reactions. | act:sexual
pouch_penetration | Penetration into a marsupial character's pouch, treating the abdominal pouch as a sexual orifice. | act:sexual
pounding | Hard, rhythmic, forceful thrusting with a relentless, driving tempo that emphasises raw power over finesse. | act:sexual
preening | Grooming a partner's feathers with the beak or mouth in an intimate, affectionate manner. | act:sexual
presenting_to_mate | Assuming a body position that signals readiness and invitation for mating, such as raising the tail, arching the back, or lowering the front. | act:sexual
prodding | The tip of a penis, toy, or finger pressing against an orifice without fully entering, making contact and creating pressure at the entrance. | act:sexual
prolapse | Internal tissue (typically rectal or vaginal) pushed outside the body through an orifice. | act:sexual
prone_bone | A sexual position where the receiver lies flat on their stomach while the giver penetrates from on top and behind, pressing their full body weight down. | act:sexual
prostate_massage | Stimulation of the prostate gland through the rectal wall using fingers, toys, or internal pressure. | act:sexual
prostate_milking | Sustained, rhythmic prostate stimulation designed to force a steady flow of prostatic fluid or semen from the penis without a traditional orgasm. | act:sexual
prostate_orgasm | An orgasm triggered primarily through prostate stimulation rather than penile contact, producing a deep, full-body climax that differs in sensation from a standard ejaculatory orgasm. | act:sexual
prostate_penetration | Extreme fantasy tag depicting direct penetration into or through the prostate gland itself, rather than stimulation through the rectal wall. | act:sexual
public_sex | Sexual activity performed in a public or semi-public location where being caught is a real possibility, such as parks, restrooms, fitting rooms, or transportation. | act:sexual
purring | A continuous, rumbling vibration from the chest and throat made by feline characters during intimacy, signalling deep contentment and pleasure. | act:sexual
quadruple_penetration | Four separate penetrations occurring simultaneously, typically involving a combination of vaginal, anal, oral, and hand-based insertions from multiple partners. | act:sexual
quickie | A brief, hurried sexual encounter squeezed into a short window of time, often spontaneous and rushed to completion before being caught or interrupted. | act:sexual
quintuple_penetration | Five separate penetrations occurring simultaneously, an extreme multi-penetration scenario requiring a large group or tentacle encounter. | act:sexual
reach_around | The insertive partner reaches around from behind during rear-entry sex to manually stimulate the receiver's genitals. | act:sexual
receiving_pov | The scene is drawn or described from the receiving partner’s first-person perspective, looking up or back at the insertive partner. | act:sexual
reunion_sex | Sex that occurs upon reuniting after a period of separation, driven by the pent-up desire and emotional relief of being together again. | act:sexual
revenge_sex | Sexual activity motivated by spite or retaliation, whether sleeping with someone to get back at a partner or using sex as a weapon in a personal conflict. | act:sexual
reverse_face_sitting | A facesitting variant where the sitter faces away from the receiver rather than toward them, positioning their rear over the face. | act:sexual
reverse_spitroast | A spitroast variant where the middle participant faces the opposite direction from a standard arrangement, changing which end receives oral versus penetration. | act:sexual
ridiculous_fit | Penetration that defies all anatomical limitations, where something far too large somehow fits inside a much smaller partner. | act:sexual
riding | A sexual position where one partner sits on top and controls the movement, bouncing, grinding, or rocking on the insertive partner below. | act:sexual
rimjob | Oral stimulation of the anus using the mouth, lips, and tongue. | act:sexual
rimming | Using the tongue to lick, circle, and probe the anus and surrounding rim for sexual stimulation. | act:sexual
roaring | A loud, powerful vocalisation at the moment of climax or intense arousal, specific to large predator species like lions, tigers, bears, and dragons. | act:sexual
rosebud | A mild, aestheticised anal prolapse where a small amount of pink rectal tissue protrudes from the anus, resembling a rosebud. | act:sexual
rough_sex | Sexual activity characterised by forceful, aggressive physicality including hard thrusting, slapping, biting, hair pulling, and manhandling. | act:sexual
ruined_orgasm | An orgasm deliberately sabotaged by abruptly stopping all stimulation right at the point of no return, causing a weak, dribbling climax with none of the satisfying contractions. | act:sexual
rusty_trombone | Simultaneously rimming a partner from behind while reaching between their legs to give them a handjob. | act:sexual
rut_sex | Sex driven by the male rut cycle, characterised by aggressive, primal, and relentless mating behaviour. | act:sexual
sandwich | A three-person configuration where one partner is penetrated from both the front and back simultaneously, sandwiched between two givers. | act:sexual
sandwich_position | A threesome arrangement where one partner is positioned between two others, typically receiving penetration from behind and performing oral or being penetrated from the front. | act:sexual
scent_marking_during_sex | Deliberately rubbing scent glands against a partner's body during sexual activity to mark them with one's scent as a territorial claim. | act:sexual
scenting | Deliberately pressing the nose against a partner's body to inhale their natural scent, musk, or pheromones. | act:sexual
scratching | Dragging claws or nails across a partner's skin during sex, leaving red lines or welts as marks of intensity. | act:sexual
scruff_bite | Biting the back of the neck (scruff) to pin and hold a partner in place during mating, mimicking natural animal behaviour. | act:sexual
scruffing | Gripping the loose skin at the back of a partner's neck (the scruff) to control their movement or immobilise them. | act:sexual
septuple_penetration | Seven separate penetrations occurring simultaneously, an extreme multi-penetration scenario that requires a very large group or extensive tentacle involvement. | act:sexual
sex_tape | Deliberately recording a sexual encounter on camera or phone, whether as a shared keepsake between partners or for the exhibitionist thrill of being filmed. | act:sexual
sex_toy_in_ass | A sex toy (vibrator, plug, dildo, etc.) inserted into the anus for sexual stimulation. | act:sexual
sex_toy_in_cloaca | A sex toy inserted into a cloaca, applicable to avian, reptilian, and other species with a shared genital-anal opening. | act:sexual
sex_toy_in_mouth | A sex toy inserted into or used in the mouth, whether as oral practice, a gag substitute, or for the visual of sucking on a toy. | act:sexual
sex_toy_in_pussy | A sex toy (vibrator, dildo, egg, etc.) inserted into the vagina for sexual stimulation. | act:sexual
sex_toy_in_urethra | A sex toy (sound, plug, or small vibrator) inserted into the urethra for urethral stimulation. | act:sexual
sex_toy_insertion | General catch-all for any sex toy being inserted into any orifice. | act:sexual
sexting | Exchanging sexually explicit text messages, photos, or videos digitally between partners. | act:sexual
sextuple_penetration | Six separate penetrations occurring simultaneously, an extreme multi-penetration scenario requiring a large group or extensive tentacle involvement. | act:sexual
shallow_penetration | Only the very tip or shallowest portion of the penis or object has entered the orifice, barely past the opening. | act:sexual
shared_blowjob | Two givers collaborating on oral sex for a single recipient, working together on the same penis by sharing the shaft, head, and balls between them. | act:sexual
sheath_play | Stimulating, teasing, or manually manipulating a character's penile sheath (the retractable skin covering that houses the penis when not erect). | act:sexual
shoulder_deep | Fisting where the entire arm is inserted up to the shoulder, the most extreme depth possible for arm-based penetration. | act:sexual
shower_sex | Sexual activity under running water in a shower, usually with one partner pressed against the tile. | act:sexual
simultaneous_penetration | Two or more penetrations happening at exactly the same time, often synchronised thrusting or insertion. | act:sexual
sit_and_blow_position | An oral sex position where the recipient sits in a chair, on a bed edge, or on a surface while the giver performs oral from a kneeling or crouching position below. | act:sexual
skull_fucking | An extremely aggressive form of face_fucking where the insertive partner grips the receiver's head and uses it as a sleeve, thrusting with complete force and control. | act:sexual
sleep_sex | Sexual activity performed on or with a partner who is asleep, either waking them up through the stimulation or continuing while they remain unconscious. | act:sexual
sloppy_blowjob | Deliberately messy oral sex with excessive saliva, drool strings, and gagging sounds. | act:sexual
sloppy_kiss | Wet, messy kissing with visible saliva, tongue, and little concern for tidiness. | act:sexual
sloppy_seconds | Having sex with a partner who still has another person's ejaculate inside them from a recent prior encounter. | act:sexual
snowballing | Passing a mouthful of ejaculate from one partner's mouth to another's via kissing, often back and forth multiple times. | act:sexual
somnophilia | Sexual arousal derived from a partner being asleep or unconscious, focusing on the vulnerability and unawareness of the sleeping person. | act:sexual
south_pole_position | A facesitting variant where the dominant partner faces toward the receiver's lower body while sitting on their face, giving them a view of and access to the receiver's genitals. | act:sexual
spit | Saliva used erotically, either as lubricant, for degradation, or as a display of hunger and need. | act:sexual
spit_roast | A threesome position where the central participant is penetrated from behind while simultaneously giving oral sex to the partner in front. | act:sexual
spit_strings | Visible strands of saliva stretching between surfaces that have just separated, such as between two mouths after a kiss, or between lips and a penis after pulling away from oral. | act:sexual
spitroast | Character is penetrated from behind and giving oral at the same time. | act:sexual
staircase_sex | Sex performed on a staircase, using the steps to create height differences between partners. | act:sexual
stand_and_blow_position | An oral sex position where the recipient stands upright while the giver performs oral from a kneeling or seated position below. | act:sexual
stomach_bulge | A visible distension of the abdomen caused by a deeply inserted penis or object pressing outward against the stomach wall. | act:sexual
stomach_penetration | Extreme fantasy tag where penetration reaches so deep it enters the stomach cavity, far beyond any anatomically possible depth. | act:sexual
stomach_view | Internal view showing the inside of the stomach, often during vore or extreme deep-penetration scenarios. | act:sexual
strap_on | A harness-mounted dildo worn around the hips, allowing a character without a penis (or in addition to one) to perform penetration. | act:sexual
stretched_anus | The anus visibly widened and distended around a large insertion, showing the sphincter at its limit. | act:sexual
stretched_mouth | The mouth forced open wider than normal by a large insertion, with cheeks bulging and jaw at maximum extension. | act:sexual
stretched_orifice | General catch-all for any orifice visibly widened beyond its normal state by a large insertion. | act:sexual
stretched_pussy | The vagina visibly widened and distended around a large insertion, with the labia pulled taut and the opening at its limit. | act:sexual
stretched_urethra | The urethra visibly widened beyond its normal state by a sound, toy, or extreme insertion. | act:sexual
stroking | Rhythmic hand movement along the shaft of a penis, providing manual stimulation through a steady grip-and-slide motion. | act:sexual
suspended_via_penetration | Character is held aloft or suspended in the air by the penetration itself. | act:sexual
swallowing | A partner swallowing ejaculate after it has been delivered into their mouth, often shown with a visible throat motion. | act:sexual
tag_team | Two or more partners taking turns with one recipient, swapping in and out of the active role while the others rest or watch. | act:sexual
tail_fisting | Using a tail for deep penetration comparable to fisting depth, where the tail's girth stretches the orifice significantly. | act:sexual
tail_in_ass | A character's tail penetrating the anus, either their own or a partner's. | act:sexual
tail_in_cloaca | A tail penetrating a character's cloaca, combining tail-play with avian or reptilian anatomy. | act:sexual
tail_in_mouth | A tail placed into a character's mouth for sucking, licking, or oral play. | act:sexual
tail_in_pussy | A tail penetrating the vagina, using its natural flexibility and taper for smooth insertion. | act:sexual
tail_in_urethra | A tail tip inserted into the urethra, combining tail-play with extreme sounding. | act:sexual
tail_lick | Licking or mouthing a character’s tail as a sensual or affectionate act. | act:sexual
tail_pulling | Tugging or yanking a partner's tail during sex, often as a dominance gesture or to control their movement. | act:sexual
tail_sex | Broad tag for any sexual use of a tail, including penetration, wrapping, stroking, or rubbing against a partner. | act:sexual
tailjob | Using a tail to stroke or penetrate a partner. | act:sexual
tea_bagging | Lowering or pressing the scrotum onto a partner's face or into their mouth. | act:sexual
tease_and_denial | Extended sexual teasing where a partner is deliberately brought close to orgasm but denied release, often repeatedly. | act:sexual
tentacle_fellatio | Oral sex involving tentacles, where a character sucks or licks a tentacle as though performing fellatio. | act:sexual
tentacle_in_ass | A tentacle penetrating the anus, using its boneless flexibility to navigate and fill the passage. | act:sexual
tentacle_in_cloaca | A tentacle penetrating a character's cloaca, combining tentacle flexibility with avian or reptilian anatomy. | act:sexual
tentacle_in_mouth | A tentacle pushed into a character's mouth for oral stimulation or forced insertion. | act:sexual
tentacle_in_penis | A thin tentacle inserted into the penile urethra, functioning as a living sound. | act:sexual
tentacle_in_pussy | A tentacle penetrating the vagina, using its flexible, boneless form to fill and stimulate the vaginal canal. | act:sexual
tentacle_in_urethra | A tentacle tip threading into the urethra, combining tentacle play with extreme sounding. | act:sexual
tentacle_sex | Broad tag for any sexual activity involving tentacles, whether penetrative, stroking, restraining, or stimulating. | act:sexual
testicle_penetration | Penetration into or through the testicles themselves, a fantasy or extreme body-horror tag depicting impossible anatomy. | act:sexual
thigh_lick | Licking the inner or outer thigh as foreplay or worship, often as a teasing approach toward the genitals. | act:sexual
throat_bulge | A visible distension or lump in the throat caused by a deep insertion pushing outward from inside. | act:sexual
throat_bulge_oral | A visible bulge in the throat specifically from deep oral sex, where the penis or object pushes outward against the neck. | act:sexual
throat_bulge_penetration | A visible bulge in the throat caused by deep penetration from a non-oral source, such as a tentacle or impossibly long insertion travelling up through the body. | act:sexual
throat_penetration | Penetration that pushes past the mouth and into the throat itself, whether by penis, tentacle, or toy. | act:sexual
throat_pie | Ejaculating directly into a partner's throat during deep oral, bypassing the mouth entirely so the cum goes straight down. | act:sexual
throat_swabbing | Extreme oral penetration where the penis passes well past the tongue into the throat, often repeatedly. | act:sexual
throat_view | An artistic perspective showing the inside of the throat during penetration, revealing the insertion from within the passage. | act:sexual
throat_work | Skilled, active oral using throat pressure and swallowing motions rather than passive mouth-fucking. | act:sexual
tickle_torture | Prolonged, relentless tickling used as a form of playful torment or light BDSM, often with the victim restrained and unable to escape. | act:sexual
tickling | Light, teasing touches designed to provoke an involuntary ticklish reaction, often targeting sensitive areas like feet, sides, or underarms. | act:sexual
tight_fit | Penetration where the insertion visibly struggles to fit, with the orifice stretched taut and the entry appearing snug to the point of difficulty. | act:sexual
titfuck | The penis thrust between a partner's breasts, with the cleavage providing friction and visual stimulation. | act:sexual
titjob | Sexual stimulation of the penis using breasts, where the breasts are wrapped or pressed around the shaft. | act:sexual
toe_suck | Sucking on a partner's toes with the mouth, a core foot-fetish act where the toes are treated like digits to be orally worshipped. | act:sexual
toes_in_ass | Toes pushed into the anus as a foot-fetish act, combining foot worship with anal penetration. | act:sexual
toes_in_mouth | Toes placed into a character's mouth for sucking or licking, a core foot-fetish act. | act:sexual
toes_in_pussy | Toes inserted into the vagina as a foot-fetish penetration act. | act:sexual
toes_in_urethra | Toes inserted into the urethra, an extreme combination of foot fetish and urethral play. | act:sexual
tongue_in_ass | The tongue pushed into the anus for rimming or analingus, going beyond surface licking to active penetration of the sphincter. | act:sexual
tongue_in_cloaca | The tongue inserted into a character's cloaca for oral stimulation of avian or reptilian anatomy. | act:sexual
tongue_in_mouth | A tongue pushed or slipped into a partner's mouth during kissing, encompassing French kissing and deep tongue play. | act:sexual
tongue_in_penis | The tongue tip inserted into the penile urethra, an extreme oral act combining tongue play with urethral stimulation. | act:sexual
tongue_in_pussy | The tongue pushed inside the vaginal canal during cunnilingus, going beyond surface licking to active internal stimulation. | act:sexual
tongue_in_urethra | A partner's tongue being pushed into the urethral opening of a penis, an extreme form of tip play. | act:sexual
tongue_use | Erotic use of the tongue during foreplay or sex. | act:sexual
tongue_worship | Erotic or submissive focus on a partner's tongue itself, admiring its shape, length, or texture as an object of desire. | act:sexual
tonguejob | Intense oral stimulation primarily through tongue work rather than suction or lip pressure. | act:sexual
tonsil_touching | Deep oral penetration where the insertion reaches the very back of the throat, pressing against or past the tonsils. | act:sexual
train_position | Three or more characters lined up back-to-front in a chain, each penetrating or being penetrated by the person in front or behind them. | act:sexual
trampling | Standing, stepping, or walking on a partner's body as a dominance or foot-fetish act. | act:sexual
triangle_position | A three-person arrangement where one lies back receiving oral from a second while the third rides or penetrates, forming a triangular circuit of stimulation. | act:sexual
trilateral_penetration | Penetration at three angles or in three places simultaneously, such as mouth, vagina, and anus together. | act:sexual
trilling | A high-pitched, rolling vocalisation mixing purring with birdlike notes, made by avian or exotic species during pleasure. | act:sexual
triple_anal | Three separate insertions in the anus simultaneously, an extreme stretching scenario well beyond double_anal. | act:sexual
triple_cloacal | Three simultaneous insertions into a single cloaca, an extreme variant for avian or reptilian characters. | act:sexual
triple_fellatio | Three characters performing oral sex on a single partner at the same time, sharing or taking turns on the penis. | act:sexual
triple_oral | Three separate insertions in the mouth simultaneously, stretching the jaw to its absolute limit. | act:sexual
triple_penetration | Three separate orifices penetrated at the same time, typically mouth, vagina, and anus in a female or herm character. | act:sexual
triple_vaginal | Three penises or objects inserted into a single vagina simultaneously, an extreme fantasy configuration. | act:sexual
twisted_sandwich_position | Double-penetration sandwich position with the central partner's torso twisted to face both participants. | act:sexual
u-turn_penetration | The penetrating organ enters and loops/turns within the recipient's body. | act:sexual
under_desk_blowjob | Oral sex performed covertly beneath a desk while the recipient sits above, often in a workplace or public-adjacent setting. | act:sexual
underwater_sex | Sexual activity taking place while both partners are submerged in water, whether in a pool, ocean, or bath. | act:sexual
unusual_penetration | Catch-all for penetration that falls outside standard anatomy — unusual orifices, objects, or fantasy configurations. | act:sexual
unusual_position | A catch-all for sexual positions that defy standard categorisation, whether due to creative anatomy, acrobatic flexibility, or simply not matching any named position. | act:sexual
upside_down_blowjob | Oral sex where the giver's head is inverted, allowing the penis to enter at a straight angle aligned with the throat for deeper penetration. | act:sexual
urethral_bulge | A visible distension along the shaft of the penis caused by an object inserted deep into the urethra, showing its outline through the tissue. | act:sexual
urethral_fingering | One or more fingers inserted into the urethra, an extreme sounding variant using digits rather than toys. | act:sexual
urethral_fisting | An entire hand or fist inserted into the urethra, an extreme fantasy tag depicting anatomically impossible scale. | act:sexual
urethral_gape | The urethra stretched wide open and visibly gaping after insertion or sounding, showing the enlarged opening. | act:sexual
urethral_penetration | General tag covering any form of insertion into the urethra, from medical-style sounds to fingers, tentacles, or fantasy objects. | act:sexual
urethral_stretching | The gradual widening of the urethra through progressively larger insertions, such as graduated sounds or toys. | act:sexual
urethral_to_oral | A through-body penetration entering through the urethra and travelling up to exit through the mouth. | act:sexual
vaginal | General tag covering any vaginal sexual activity, applied when the specific act isn't otherwise tagged. | act:sexual
vaginal_fingering | One or more fingers inserted into the vagina for manual stimulation, ranging from gentle single-finger play to vigorous multi-finger thrusting. | act:sexual
vaginal_fisting | The entire hand or forearm inserted into the vagina past the wrist, an extreme stretching act requiring significant preparation and trust. | act:sexual
vaginal_penetration | General tag for anything being inserted into the vagina. | act:sexual
vaginal_prolapse | Vaginal wall tissue pushed outside the body through the vaginal opening. | act:sexual
vaginal_sex | Penetrative intercourse involving the vagina, typically penis-in-vagina but also covering toy or strap-on use. | act:sexual
vaginal_to_oral | A through-body penetration entering the vagina and travelling up to exit through the mouth. | act:sexual
vibrating_sound | A vibrating rod or sound inserted into the urethra, adding mechanical vibration to standard sounding play. | act:sexual
vibrator_in_ass | A vibrating toy inserted into the anus, providing buzzing stimulation to the sensitive anal canal and prostate region. | act:sexual
vibrator_in_cloaca | A vibrating toy inserted into a character's cloaca, combining mechanical stimulation with avian or reptilian anatomy. | act:sexual
vibrator_in_mouth | A vibrating toy placed in the mouth, either as oral play, a gag substitute, or forced insertion. | act:sexual
vibrator_in_penis | A vibrating toy or sound inserted into the penile urethra, combining sounding with mechanical vibration. | act:sexual
vibrator_in_pussy | A vibrating toy inserted into the vagina for internal stimulation, providing buzzing pleasure against the vaginal walls and G-spot. | act:sexual
vibrator_in_urethra | A vibrating toy inserted into the urethra, combining extreme sounding with mechanical stimulation. | act:sexual
voodoo_penetration | Penetration via magical or cursed means, e.g., dolls or ritual. | act:sexual
vore | Fetish involving one character swallowing or being swallowed by another, either whole or in parts. | act:sexual
wall_sex | Sex performed with one partner pinned or braced against a wall. | act:sexual
warming_up_with_oral | Oral sex performed as deliberate extended foreplay before the main event, building arousal and lubrication before transitioning to penetration. | act:sexual
wedding_night | The first sexual encounter between partners after their marriage ceremony, often depicted with romantic intensity and emotional significance. | act:sexual
window_sex | Sex performed against or in front of a window, combining exhibitionism with the thrill of potential public exposure. | act:sexual
womb_bulge | A visible distension in the lower abdomen caused by a penis or object pushing into or against the womb during deep vaginal penetration. | act:sexual
womb_penetration | Penetration that breaches the cervix and enters the womb itself, going beyond standard vaginal depth. | act:sexual
womb_view | Internal view showing the inside of the womb during deep penetration, insemination, or egg scenes. | act:sexual
x_ray_penetration | Internal cutaway view showing what penetration looks like inside the body, the inserted shape visible through translucent anatomy. | act:sexual
zipper_access | Accessing the genitals through an opened zipper fly without removing clothing, emphasising convenience or urgency. | act:sexual

================================================================================
SEX POSITIONS
================================================================================
against_wall | One partner pins the other against a wall for face-to-face or rear-entry penetration, using the hard surface for support and leverage. | act:position
amazon_position | The receiver squats over the penetrator who lies on their back with legs raised and bent, with the top partner controlling all movement from above. | act:position
ankles_by_ears | The receiver lies on their back with legs lifted and pushed all the way back until their ankles rest beside or behind their ears, fully exposing them for penetration. | act:position
anvil_position | The receiver lies on their back with legs raised straight up and pushed forward toward their head while the penetrator kneels or leans in from above. | act:position
arch_position | The receiver arches their back dramatically during sex, lifting their torso off the surface while keeping shoulders and hips in contact with the bed. | act:position
arms_pinned | The receiver's arms are held down against a surface or behind their back by the dominant partner during penetration, removing their ability to resist or guide the action. | act:position
ass_to_ass | Two partners press their rears together with a shared toy or in mutual anal/vaginal contact, facing away from each other. | act:position
back_to_chest | The receiver's back is pressed flush against the penetrator's chest during rear-entry penetration, maintaining full torso contact in a standing or lying position. | act:position
ballerina_position | The receiver raises one leg straight up to rest on the penetrator's shoulder while standing on the other leg, resembling a ballet extension during standing penetration. | act:position
bent_over_bed | The receiver bends forward over the edge of a bed with their upper body resting on the soft mattress and feet still on the floor, presenting from behind. | act:position
bent_over_counter | The receiver bends over a kitchen or bathroom counter, often in a spontaneous, caught-in-the-moment scenario with the penetrator standing behind. | act:position
bent_over_furniture | The receiver leans forward over a table, desk, chair, or other furniture piece while the penetrator enters from behind. | act:position
bent_over_table | The receiver leans across a table with their upper body flat on the surface and hips at the table's edge while the penetrator stands behind. | act:position
bent_spoon_position | A variation of spooning where both partners curl their bodies into a tighter fetal-like curve, changing the angle of rear-entry penetration. | act:position
bodyguard_position | The penetrator stands close behind the receiver, gripping their hips or wrapping arms around their midsection for tight rear-entry penetration. | act:position
bouncing | Active, rhythmic up-and-down hip movement during penetration, typically from a riding position on top where the rider lifts and drops with increasing force. | act:position
bouncing_cowgirl | An active variation of cowgirl where the top partner lifts their hips high and drops down in a vigorous bouncing rhythm rather than grinding. | act:position
breeding_press | A dominant variation of the mating press specifically characterized by deep, relentless thrusting optimized for planting seed as deep as possible. | act:position
bridal_carry_position | The receiver is scooped up and held in the carrier's arms with one arm under the knees and the other supporting the back, in the classic romantic carry. | act:position
bridge_position | The receiver supports themselves in a gymnastic bridge arch with hands and feet on the ground and torso curved upward while being penetrated. | act:position
butter_churner | The receiver lies on their back with legs raised overhead and hips lifted high while the penetrator squats above them, thrusting downward in a churning motion. | act:position
cable_car_(sex_position) | A hybrid position combining elements of suspended and supported standing sex, where one partner is partially lifted or braced while the other provides stability and penetration. | act:position
chair_position | The penetrator sits on a chair or seat edge while the receiver sits in their lap facing away, lowering themselves onto their partner. | act:position
chokehold_position | Penetration combined with one hand wrapped firmly around the receiver's throat, applying controlled pressure to the sides of the neck during thrusting. | act:position
cock_sit | The act of slowly lowering oneself onto an erect penis from above, savoring every inch of penetration as gravity assists the gradual descent. | act:position
collar_pull | The penetrator grips and tugs on a collar worn by the receiver during sex, using it as a handle to direct their body position, posture, and rhythm. | act:position
cowgirl_position | The receiver straddles the penetrator who lies on their back, sitting upright or leaning forward while facing them and controlling the ride. | act:position
crab_position | The receiver sits facing away from the penetrator in a reverse tabletop or crab-walk stance with hands and feet on the ground while being entered from behind. | act:position
cradle_position | The receiver is cradled and held against the penetrator's body while lying back, gently rocked during intimate penetration. | act:position
crouching_tiger_position | Rear penetration with the penetrator hunched forward in a crouching stance over the receiver's back, like a predator mounting prey from above. | act:position
daisy_chain | A circular sexual arrangement where each participant pleasures the next person in the chain, forming a closed loop of simultaneous giving and receiving. | act:position
daisy_train | An extended linear version of the daisy chain where participants line up in a row, each engaging the person in front of them in sequence. | act:position
dancer_position | Both partners stand face-to-face with the receiver lifting one leg high and hooking it over the penetrator's shoulder or hip for standing penetration. | act:position
dangling_doggystyle | The receiver's upper body hangs off the edge of a surface while being entered from behind, with only their legs and hips still supported on the bed or table. | act:position
deck_chair_position | The penetrator sits with legs extended while the receiver lies back on top of them facing the same direction, legs spread over the penetrator's thighs. | act:position
deep_missionary | A variation of missionary where the receiver's legs are pulled further back toward their chest, tilting their hips to allow the penetrator to angle deeper inside. | act:position
doggy_with_collar | Classic doggystyle with the penetrator gripping or pulling a collar worn by the receiver, using it as a handle to control rhythm and posture. | act:position
doggy_with_hair_pull | Doggystyle where the penetrator grabs a fistful of the receiver's hair and pulls their head back during each thrust. | act:position
doggystyle | The classic rear-entry position where the receiver is on all fours and the penetrator kneels or stands behind them, gripping hips for leverage. | act:position
dragged_by_hips | The penetrating partner grabs the receiver's hips and physically pulls them backward onto each thrust, yanking them into position repeatedly. | act:position
eagle_position | A missionary variation where the receiver spreads their legs extremely wide in a dramatic V-shape, often with ankles held by the penetrator for stability. | act:position
eiffel_tower_position | Two penetrating partners stand on either side of the receiver — one at the mouth and one at the rear — connecting their hands above to form a triangle shape. | act:position
face_down_ass_up | The receiver has their face pressed against the surface with hips raised high in the air, presenting their rear at a steep upward angle for entry from behind. | act:position
fairy_position | Rear-entry penetration with the receiver in a pronounced spine arch and limbs spread wide, creating an ethereal, flight-like silhouette during the act. | act:position
female_on_top | Any position where the female partner takes the upper position, straddling and riding the partner beneath while controlling rhythm, depth, and angle. | act:position
flat_on_back | The receiver lies completely flat and supine with legs apart, in the most basic and open receptive position available for penetration. | act:position
flat_on_stomach | The receiver lies face-down with their entire body pressed flat against the surface, accessible for rear-entry penetration from above. | act:position
flatiron | The receiver lies face-down with legs pressed together and a pillow or elevation under their hips, presenting a tightly closed rear for entry. | act:position
fleshlight_position | The receiver is positioned and held in a way that mimics using a sex toy, typically gripped by the hips or thighs and physically moved onto the shaft. | act:position
folded_in_half | The receiver's legs are pushed all the way back until their knees touch their shoulders or press into the surface beside their head, bending their body completely double. | act:position
from_behind_position | A general rear-entry configuration where the penetrator is positioned behind the receiver in any of various stances — standing, kneeling, lying, or bent over. | act:position
full_nelson_anal | The penetrator threads arms under the receiver's armpits and locks hands behind their neck in a full nelson wrestling hold while penetrating anally from behind. | act:position
full_nelson_position | The penetrator stands or kneels behind the receiver, threading arms under their armpits and locking hands behind the neck to completely immobilize the upper body. | act:position
grinding_cowgirl | A slow, hip-rolling variation of cowgirl where the top partner rocks and grinds in circular or back-and-forth motions rather than bouncing vertically. | act:position
guard_position | The receiver is positioned with hips angled downward while the penetrator kneels between their legs in a close-quarters configuration inspired by martial arts guard positions. | act:position
hair_pull_position | The penetrator grabs a fistful of the receiver's hair during rear-entry sex, pulling their head firmly back to force an arch in the spine. | act:position
hands_above_head_position | The receiver's arms are stretched above their head during sex — held by the partner's hands, tied to a headboard, or gripping the bedframe voluntarily. | act:position
